Country,2016,2017,2018,3Q19,4Q19,2019,Change 19/18,1Q20,2Q20,3Q20,4Q20,Change 20/19
Brazil,3.1219919289617484,3.2518795808219183,3.316073887671233,3.6597459999999997,3.827346,3.5424654520547945,0.2263915643835617,3.7759440000000004,3.8126919999999997,3.822589,3.867635,3.8198537814207647
Colombia,0.9082513333333332,0.8785783178082192,0.8911205726027397,0.901537,0.9049370000000001,0.9112668630136987,0.020146290410959056,0.907976,0.860025,0.823083,0.840151,0.8576656256830602
Ecuador,0.5579303743169399,0.5405606767123288,0.5259943726027397,0.5540430000000001,0.525043,0.5390484794520548,0.013054106849315072,0.539043,0.489043,0.539043,0.539043,0.526611306010929
Latin America others,0.3783957978142077,0.37322213698630136,0.3581263287671233,0.35099,0.36499000000000004,0.3547653424657534,-0.003360986301369884,0.432871,0.46738199999999996,0.46452200000000005,0.462296,0.4568040409836066
Bahrain,0.22500000000000006,0.20836989589041094,0.20838359452054794,0.221315,0.22631500000000002,0.21714239726027398,0.008758802739726068,0.201016,0.172716,0.183417,0.183117,0.18505666666666665
Oman,1.0041806038251364,0.9705864493150684,0.9785427260273972,0.971409,0.969009,0.9698626986301369,-0.00868002739726037,0.966728,0.79492,0.834583,0.8347190000000001,0.857611344262295
Qatar,1.9851435601092902,1.896931534246576,1.9556377095890407,1.94965,1.94865,1.955069178082192,-0.0005685315068495456,1.9680000000000002,1.96052,1.964821,1.969546,1.9657297377049177
Syria,0.02508478415300547,0.024665775342465758,0.024000000000000004,0.024,0.024,0.024000000000000004,0.0,0.023780000000000003,0.023801,0.024061000000000003,0.024562,0.024052423497267758
Yemen,0.02420757650273224,0.035361550684931506,0.04535610684931507,0.047,0.047,0.047,0.0016438931506849302,0.049746,0.053189,0.057329,0.062165,0.05562987158469945
Cameroon,0.09164468579234973,0.07496453698630137,0.06707944657534247,0.066,0.066,0.06500821917808218,-0.002071227397260289,0.064211,0.062422000000000005,0.060632000000000005,0.05884299999999999,0.061517221311475426
Chad,0.12000816393442625,0.12057535342465753,0.11690956164383562,0.11306300000000001,0.111863,0.11340491780821918,-0.003504643835616439,0.11012999999999999,0.11742799999999999,0.11575899999999999,0.114121,0.11436267213114755
Egypt,0.6875463087431695,0.661528906849315,0.6722628821917809,0.648674,0.641674,0.6540959178082192,-0.01816696438356169,0.638092,0.631667,0.620398,0.610287,0.6250576202185792
Ghana,0.09175388797814206,0.16300830136986302,0.18994512602739727,0.20013699999999998,0.200737,0.19934686301369864,0.00940173698630137,0.194246,0.214883,0.21564699999999998,0.216538,0.2103599972677596
South Africa,0.11999999999999998,0.11883011506849316,0.11858083287671232,0.1176,0.1178,0.11799780821917807,-0.0005830246575342367,0.11798399999999999,0.134214,0.13449,0.134812,0.13039836612021855
Sudans,0.2502103825136612,0.2132604438356165,0.2157998794520548,0.251863,0.243263,0.2442038219178082,0.028403942465753423,0.247604,0.156747,0.17069,0.171435,0.18653399180327868
Africa other,0.1310071038251366,0.13176142465753424,0.12283570684931505,0.108822,0.109222,0.11085049315068493,-0.01198521369863012,0.105773,0.127771,0.128216,0.129109,0.12274973770491805
FSU,13.851691497267762,14.04937279452055,14.290646265753427,14.343679000000002,14.422279,14.368702561643836,0.07805629589040948,14.503692000000001,11.824297,12.428125,12.426178000000002,12.793559767759564
Russia,11.083256756830602,11.170934473972604,11.346479013698632,11.420571,11.451171,11.44000004109589,0.09352102739725864,11.504171000000001,9.355094,9.848967,9.848791,10.13766899180328
Kazakhstan,1.5624919262295085,1.7328547561643834,1.8144986684931508,1.8146689999999999,1.8732689999999999,1.8183555753424656,0.0038569068493150564,1.889578,1.511175,1.5910600000000001,1.591234,1.6454633087431696
Azerbaijan,0.8491066639344264,0.8038575863013699,0.8049808493150684,0.786776,0.777176,0.788445589041096,-0.016535260273972452,0.790555,0.6484310000000001,0.680804,0.680675,0.7000103661202185
FSU others,0.3568361502732241,0.3417259780821918,0.3246877342465753,0.32166300000000003,0.32066300000000003,0.32190135616438353,-0.002786378082191787,0.319388,0.30959699999999996,0.307294,0.305478,0.31041710109289616
Other Europe,0.13340434699453552,0.12773456164383562,0.12448763835616435,0.122326,0.119326,0.12156983561643835,-0.0029178027397260137,0.119843,0.11744500000000001,0.11512599999999999,0.112891,0.11631358469945355
