 ,Country,2016,2017,2018,3Q19,4Q19,2019,Change 19/18,1Q20,2Q20,3Q20,4Q20,Change 20/19
,Non-OPEC liquids production and OPEC NGLs,,,,,,,,,,,,
,Africa,1.4921705327868853,1.4839290821917808,1.5034134356164386,1.5061589999999998,1.4905589999999997,1.5049080410958904,0.0014946054794520158,1.47804,1.445132,1.4458319999999998,1.435145,1.450979606557377
,Total DCs,14.097711084699455,13.942664191780823,14.020701890410958,14.248704,14.465704,14.21150673972603,0.19080484931506814,14.480034,14.055161,14.173011,14.233186,14.235171773224044
,FSU,13.851691497267762,14.04937279452055,14.290646265753427,14.343679,14.422279000000001,14.368702561643836,0.07805629589040947,14.503692,11.824297,12.428125000000001,12.426178000000002,12.793559767759564
,Russia,11.083256756830602,11.170934473972604,11.346479013698632,11.420571,11.451171,11.44000004109589,0.09352102739725865,11.504171,9.355094,9.848967,9.848791,10.13766899180328
,Kazakhstan,1.5624919262295085,1.7328547561643834,1.8144986684931508,1.814669,1.873269,1.8183555753424658,0.003856906849315056,1.889578,1.511175,1.59106,1.591234,1.6454633087431696
,Azerbaijan,0.8491066639344264,0.8038575863013699,0.8049808493150684,0.786776,0.777176,0.788445589041096,-0.016535260273972452,0.790555,0.648431,0.680804,0.680675,0.7000103661202185
,FSU others,0.3568361502732241,0.3417259780821918,0.3246877342465753,0.321663,0.320663,0.32190135616438353,-0.002786378082191787,0.319388,0.309597,0.307294,0.305478,0.31041710109289616
,Other Europe,0.13340434699453552,0.12773456164383562,0.12448763835616437,0.122326,0.119326,0.12156983561643836,-0.0029178027397260137,0.119843,0.117445,0.115126,0.112891,0.11631358469945356
,China,4.090145071038251,3.969115104109589,3.976583416438356,4.046609,4.033609,4.051058315068493,0.07447489863013734,4.043029,3.99982,3.989761,4.009537,4.010477254098361
,Non-OPEC production,57.03674689890711,57.799665265753426,60.737494539726036,62.505227000000005,64.065827,62.68910316438357,1.9516086246575286,64.269272,59.813030999999995,60.334665,60.140722000000004,61.13449501912568
,Processing gains,2.194,2.218,2.25,2.278,2.278,2.278,0.028000000000000025,2.332,2.332,2.332,2.332,2.332
,Non-OPEC liquids production,59.230746898907114,60.01766526575342,62.987494539726036,64.78322700000001,66.343827,64.96710316438357,1.9796086246575286,66.601272,62.145030999999996,62.666665,62.472722000000005,63.46649501912568
,OPEC NGL,4.473420303278688,4.52004077260274,4.643835153424658,4.598075,4.747075,4.683762671232876,0.03992751780821813,4.776075,4.713075,4.713075,4.713075,4.728738934426229
,OPEC Non-conventional (NCF),0.0984726775956284,0.108,0.10874520547945203,0.106,0.106,0.106,-0.002745205479452034,0.106,0.106,0.106,0.106,0.10599999999999998
,OPEC (NGL+NCF),4.571892980874317,4.6280407726027395,4.75258035890411,4.704075,4.853075,4.789762671232876,0.03718231232876609,4.8820749999999995,4.819075,4.819075,4.819075,4.834738934426229
,"Total Non-OPEC production and 
OPEC NGLs",63.80263987978143,64.64570603835617,67.74007489863014,69.48730200000001,71.19690200000001,69.75686583561645,2.0167909369862946,71.483347,66.964106,67.48574,67.291797,68.30123395355191
,Note: Non-OPEC liquids production includes the Republic of Ecuador and OECD Americas includes Chile.,,,,,,,,,,,,
,Totals may not add up due to independent rounding.,,,,,,,,,,,,
,Source: OPEC.,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
